Trip,Starttime,Endtime,vehicle_id,trip_id,event_id,milliseconds,datetime,fix_mode,lat,long,alt,speed,heading,accuracy_horiz,accuracy_vert,accuracy_speed,accuracy_heading,acc,yaw_rate,yaw_rate_dot,range,range_rate,event_marker
3344,32900,34380,54,3344,4,338900,2019-03-13T16:31:00700000063Z,4.0,42.3011427,-83.7064902,272.52034833333335,3.916,269.6036,0.683,1.305,0.116,0.0003399,0.5549601854195235,-0.50500488,0.0,23.25,-3.0,False
3344,32900,34380,54,3344,4,339000,2019-03-13T16:31:00800000087Z,4.0,42.3011427,-83.70649488,272.5122,3.916,269.6036,0.683,1.305,0.116,0.0003399,0.2433018255190825,-0.58500671,0.44995117,24.5,-2.6875,False
3344,32900,34380,54,3344,4,339100,2019-03-13T16:31:00900000111Z,4.0,42.30114268,-83.70649968,272.5042,3.916,269.6036,0.683,1.305,0.116,0.0003399,0.9202619725252368,-0.02499389,13.5,22.375,0.0,False
3344,32900,34380,54,3344,4,339200,2019-03-13T16:31:0175Z,4.0,42.3011426,-83.70650479999999,272.49600333333336,3.916,269.6036,0.683,1.305,0.116,0.0003399,0.5767394328269161,0.21499633,-1.35009765,22.125,0.0,False
3344,32900,34380,54,3344,4,339300,2019-03-13T16:31:0199999980Z,4.0,42.3011426,-83.70650927999999,272.48922,3.916,269.6036,0.683,1.305,0.116,0.0003399,0.6519216936127213,0.36000061,8.55004882,22.0625,0.0,False
3344,32900,34380,54,3344,4,339400,2019-03-13T16:31:01199999884Z,4.0,42.3011426,-83.70651409999999,272.48102,3.916,269.6036,0.683,1.305,0.116,0.0003399,0.6303578460692378,0.97999572,2.69995117,21.5,0.0,False
3344,32900,34380,54,3344,4,339500,2019-03-13T16:31:01299999789Z,4.0,42.3011426,-83.70651926,272.472394,3.916,269.6036,0.683,1.305,0.116,0.0003399,0.6218280512536927,0.92999267,-2.25,21.1875,-3.125,False
3344,32900,34380,54,3344,4,339600,2019-03-13T16:31:01399999999Z,4.0,42.30114217142857,-83.70652235714286,272.35886714285715,3.788,268.95043,0.68,1.305,0.11,0.00031,0.4465467019262377,0.74000549,3.60009765,20.9375,-3.8125,False
3344,32900,34380,54,3344,4,339700,2019-03-13T16:31:01499999993Z,4.0,42.3011421,-83.70652706666667,272.34967666666665,3.788,268.95043,0.68,1.305,0.11,0.00031,0.6698655606929811,0.61999511,-6.75,15.0,-7.0625,False
3344,32900,34380,54,3344,4,339800,2019-03-13T16:31:01600000017Z,4.0,42.301142,-83.70653159999999,272.3406766666667,3.788,268.95043,0.68,1.305,0.11,0.00031,1.2215905986871862,0.07499694,-15.75,16.6875,-8.3125,False
3344,32900,34380,54,3344,4,339900,2019-03-13T16:31:01700000041Z,4.0,42.301141975,-83.70653605,272.33276,3.788,268.95043,0.68,1.305,0.11,0.00031,0.5349604905520594,-0.82000732,-0.44995117,17.3125,-8.9375,False
